season,week,celebrity_name,judge_rank,audience_share_rank,final_rank,pred_eliminated,survival_prob
4,1,Heather Mills,7.0,6.0,7.0,0,0.8851664658886502
4,1,John Ratzenberger,8.0,5.0,8.0,0,0.8798949726343562
4,1,Clyde Drexler,9.0,9.0,9.0,0,0.8153578232102913
4,1,Leeza Gibbons,10.0,11.0,10.0,0,0.7678716205659523
4,1,Billy Ray Cyrus,11.0,8.0,11.0,0,0.7490459654696079
4,2,Laila Ali,1.0,10.0,1.0,0,1.0
4,2,Apolo Anton Ohno,2.0,5.0,1.0,0,1.0
4,2,Heather Mills,3.0,2.0,1.0,0,1.0
4,2,Joey Fatone,3.0,2.0,1.0,0,1.0
4,2,Ian Ziering,5.0,1.0,5.0,0,0.959573200952667
4,2,John Ratzenberger,6.0,6.0,6.0,0,0.8953807464425866
4,2,Paulina Porizkova,6.0,7.0,7.0,0,0.8951134720730614
4,2,Shandi Finnessey,10.0,4.0,8.0,0,0.8902628776539081
4,2,Leeza Gibbons,6.0,8.0,9.0,0,0.8886520028187566
4,2,Billy Ray Cyrus,6.0,9.0,10.0,0,0.8767966414306436
4,2,Clyde Drexler,11.0,11.0,11.0,1,0.7284696775185967
4,3,Heather Mills,1.0,1.0,1.0,0,1.0
4,3,Joey Fatone,1.0,2.0,2.0,0,0.9930249321704675
4,3,Ian Ziering,1.0,4.0,3.0,0,0.9796444766093051
4,3,Leeza Gibbons,1.0,6.0,4.0,0,0.9736131418993226
4,3,Apolo Anton Ohno,5.0,5.0,5.0,0,0.9547870034359399
4,3,Laila Ali,6.0,3.0,6.0,0,0.9199305356644523
4,3,Billy Ray Cyrus,6.0,7.0,7.0,0,0.8576064553460823
4,3,Shandi Finnessey,6.0,8.0,8.0,0,0.8501478527277395
4,3,John Ratzenberger,9.0,9.0,9.0,0,0.8260613272047614
4,3,Clyde Drexler,10.0,10.0,10.0,1,0.6598226014511805
4,4,Joey Fatone,1.0,7.0,1.0,0,1.0
4,4,Apolo Anton Ohno,2.0,4.0,1.0,0,1.0
4,4,Ian Ziering,3.0,2.0,3.0,0,0.9749596000897086
4,4,Heather Mills,4.0,1.0,4.0,0,0.9725747821937776
4,4,Laila Ali,5.0,3.0,5.0,0,0.9041489214212938
4,4,Billy Ray Cyrus,5.0,5.0,6.0,0,0.8761575355759642
4,4,Leeza Gibbons,7.0,6.0,7.0,0,0.7730898951972801
4,4,John Ratzenberger,7.0,8.0,8.0,0,0.716881312001863
4,4,Clyde Drexler,9.0,9.0,9.0,1,0.6008208742331154
4,5,Apolo Anton Ohno,1.0,6.0,1.0,0,1.0
4,5,Laila Ali,2.0,4.0,1.0,0,1.0
4,5,Joey Fatone,3.0,2.0,3.0,0,0.972683350877822
4,5,Ian Ziering,4.0,3.0,4.0,0,0.9282819020334245
4,5,Heather Mills,5.0,1.0,5.0,0,0.9072317822774434
4,5,Billy Ray Cyrus,7.0,5.0,6.0,0,0.766673012150486
4,5,John Ratzenberger,6.0,7.0,7.0,0,0.731491099763026
4,5,Clyde Drexler,8.0,8.0,8.0,1,0.5405348549709691
4,6,Apolo Anton Ohno,1.0,2.0,1.0,0,0.9827940568160579
4,6,Laila Ali,1.0,3.0,2.0,0,0.9758654667047022
4,6,Joey Fatone,3.0,4.0,3.0,0,0.9305430325056624
4,6,Heather Mills,5.0,1.0,4.0,0,0.9037361416298416
4,6,Ian Ziering,4.0,5.0,5.0,0,0.8770117645372224
4,6,Billy Ray Cyrus,6.0,6.0,6.0,0,0.7167528371038048
4,6,John Ratzenberger,7.0,7.0,7.0,1,0.6761135026902526
4,7,Laila Ali,1.0,1.0,1.0,0,0.9699444011762652
4,7,Joey Fatone,1.0,3.0,2.0,0,0.9478241599460855
4,7,Apolo Anton Ohno,3.0,2.0,3.0,0,0.9215588603369738
4,7,Ian Ziering,3.0,4.0,4.0,0,0.9019091551844655
4,7,John Ratzenberger,5.0,6.0,5.0,0,0.6405400229935441
4,7,Billy Ray Cyrus,6.0,5.0,6.0,1,0.6277040596070798
4,8,Apolo Anton Ohno,1.0,1.0,1.0,0,0.9782713409064705
4,8,Joey Fatone,2.0,3.0,2.0,0,0.9268459257454886
4,8,Laila Ali,3.0,2.0,3.0,0,0.9190744040239835
4,8,Ian Ziering,4.0,4.0,4.0,0,0.8165914086356111
4,8,Billy Ray Cyrus,5.0,5.0,5.0,1,0.6070920600141592
4,9,Apolo Anton Ohno,3.0,1.0,1.0,0,0.8373904665083172
4,9,Laila Ali,1.0,2.0,2.0,0,0.8346542246716302
4,9,Joey Fatone,1.0,3.0,3.0,0,0.8339923656117052
4,9,Ian Ziering,4.0,4.0,4.0,1,0.7267115339032212
4,10,Apolo Anton Ohno,1.0,1.0,1.0,0,0.32329018631366246
4,10,Joey Fatone,2.0,2.0,3.0,1,0.30729158488084474
4,10,Laila Ali,3.0,3.0,3.0,1,0.2650435803447021
5,1,Sabrina Bryan,1.0,11.0,1.0,0,1.0
5,1,Helio Castroneves,2.0,8.0,1.0,0,1.0
5,1,Jane Seymour,3.0,6.0,1.0,0,1.0
5,1,Mel B,3.0,6.0,1.0,0,1.0
5,1,Albert Reed,5.0,1.0,5.0,0,0.9583401956274307
5,1,Cameron Mathison,5.0,1.0,5.0,0,0.9583401956274307
5,1,Jennie Garth,5.0,1.0,5.0,0,0.9583401956274307
5,1,Marie Osmond,5.0,1.0,5.0,0,0.9583401956274307
5,1,Mark Cuban,5.0,1.0,5.0,0,0.9583401956274307
5,1,Wayne Newton,10.0,9.0,10.0,0,0.8500574946272739
5,1,Floyd Mayweather Jr. ,11.0,12.0,11.0,0,0.8025712919829348
5,1,Josie Maran,12.0,10.0,12.0,1,0.7837456368865904
5,2,Helio Castroneves,1.0,10.0,1.0,0,1.0
5,2,Sabrina Bryan,2.0,9.0,1.0,0,1.0
5,2,Marie Osmond,3.0,4.0,1.0,0,1.0
5,2,Mel B,4.0,2.0,4.0,0,0.9885105699387265
5,2,Jane Seymour,5.0,1.0,5.0,0,0.9536028853782246
5,2,Floyd Mayweather Jr. ,5.0,3.0,6.0,0,0.9373132081941707
5,2,Albert Reed,5.0,5.0,7.0,0,0.9322298417964557
5,2,Cameron Mathison,5.0,5.0,7.0,0,0.9322298417964557
5,2,Jennie Garth,5.0,5.0,7.0,0,0.9322298417964557
5,2,Mark Cuban,10.0,8.0,10.0,0,0.8540348412135358
5,2,Wayne Newton,11.0,11.0,11.0,1,0.6853361094736827
5,3,Jane Seymour,1.0,4.0,1.0,0,1.0
5,3,Mel B,1.0,4.0,1.0,0,1.0
5,3,Sabrina Bryan,1.0,4.0,1.0,0,1.0
5,3,Marie Osmond,4.0,2.0,4.0,0,0.995057634157863
5,3,Jennie Garth,4.0,7.0,5.0,0,0.9779182759517628
5,3,Helio Castroneves,6.0,1.0,6.0,0,0.9708958353277316
5,3,Cameron Mathison,7.0,3.0,7.0,0,0.928160786208494
5,3,Floyd Mayweather Jr. ,8.0,8.0,8.0,0,0.8291728592024155
5,3,Mark Cuban,9.0,9.0,9.0,0,0.7973465091687253
5,3,Wayne Newton,10.0,10.0,10.0,1,0.6599708786915259
5,4,Sabrina Bryan,1.0,6.0,1.0,0,1.0
5,4,Helio Castroneves,2.0,1.0,2.0,0,0.9895923199854662
5,4,Jennie Garth,2.0,2.0,3.0,0,0.9828537309338196
5,4,Mel B,5.0,3.0,4.0,0,0.9588393436486589
5,4,Jane Seymour,5.0,4.0,5.0,0,0.9551667715838559
5,4,Cameron Mathison,2.0,7.0,6.0,0,0.9468031160488196
5,4,Marie Osmond,5.0,5.0,7.0,0,0.9446419011797254
5,4,Floyd Mayweather Jr. ,8.0,8.0,8.0,0,0.7709730417995944
5,4,Mark Cuban,9.0,9.0,9.0,1,0.726839310539839
5,5,Mel B,1.0,3.0,1.0,0,1.0
5,5,Sabrina Bryan,2.0,4.0,2.0,0,0.9806181067825475
5,5,Jane Seymour,3.0,2.0,3.0,0,0.9547314276164549
5,5,Cameron Mathison,3.0,6.0,4.0,0,0.9410699416093739
5,5,Jennie Garth,5.0,5.0,5.0,0,0.9267105776534036
5,5,Helio Castroneves,6.0,1.0,6.0,0,0.9048796118171358
5,5,Marie Osmond,7.0,7.0,7.0,0,0.7900123285900829
5,5,Mark Cuban,7.0,8.0,8.0,1,0.6501012783074263
5,6,Mel B,1.0,4.0,1.0,0,0.9706715952083776
5,6,Helio Castroneves,2.0,2.0,2.0,0,0.9539231383289206
5,6,Sabrina Bryan,4.0,1.0,3.0,0,0.9087011993522012
5,6,Jennie Garth,3.0,6.0,4.0,0,0.9071174197792269
5,6,Cameron Mathison,4.0,3.0,5.0,0,0.9000579072755657
5,6,Jane Seymour,7.0,5.0,6.0,0,0.8283264072432918
5,6,Marie Osmond,6.0,7.0,7.0,1,0.7771275148840577
5,7,Jennie Garth,2.0,1.0,1.0,0,0.8674030930089934
5,7,Mel B,1.0,2.0,2.0,0,0.8626393697592832
5,7,Helio Castroneves,3.0,3.0,3.0,0,0.8452793354630621
5,7,Cameron Mathison,5.0,4.0,4.0,0,0.7705992078497423
5,7,Marie Osmond,3.0,6.0,5.0,0,0.7469014601273207
5,7,Jane Seymour,6.0,5.0,6.0,1,0.7429359397165987
5,8,Mel B,2.0,1.0,1.0,0,0.8588029624789402
5,8,Helio Castroneves,1.0,2.0,2.0,0,0.8504883774187151
5,8,Jennie Garth,4.0,3.0,3.0,0,0.7608125712141751
5,8,Cameron Mathison,3.0,4.0,4.0,0,0.7522648180579208
5,8,Marie Osmond,5.0,5.0,5.0,1,0.6574917184198026
5,9,Mel B,1.0,1.0,1.0,0,0.8610717913528656
5,9,Helio Castroneves,1.0,2.0,2.0,0,0.8560456209169278
5,9,Jennie Garth,3.0,3.0,3.0,0,0.8013237690209447
5,9,Marie Osmond,4.0,4.0,4.0,1,0.6573169807453627
5,10,Mel B,1.0,1.0,1.0,0,0.3669684014937441
5,10,Helio Castroneves,2.0,2.0,3.0,1,0.35690980535519257
5,10,Marie Osmond,3.0,3.0,3.0,1,0.07369382736389674
6,1,Kristi Yamaguchi,1.0,12.0,1.0,0,1.0
6,1,Mario,2.0,8.0,1.0,0,1.0
6,1,Priscilla Presley,2.0,8.0,1.0,0,1.0
6,1,Jason Taylor,4.0,1.0,1.0,0,1.0
6,1,Marlee Matlin,4.0,1.0,1.0,0,1.0
6,1,Cristian de la Fuente,6.0,5.0,6.0,0,0.9683939876347131
6,1,Shannon Elizabeth,6.0,5.0,6.0,0,0.9683939876347131
6,1,Marissa Jaret Winokur,8.0,3.0,8.0,0,0.9020821298940297
6,1,Steve Guttenberg,8.0,3.0,8.0,0,0.9020821298940297
6,1,Penn Jillette,10.0,7.0,10.0,0,0.8322734872156708
6,1,Adam Carolla,11.0,10.0,11.0,0,0.7847872845713317
6,1,Monica Seles,11.0,10.0,11.0,0,0.7847872845713317
6,2,Jason Taylor,1.0,9.0,1.0,0,1.0
6,2,Kristi Yamaguchi,1.0,9.0,1.0,0,1.0
6,2,Mario,3.0,8.0,1.0,0,1.0
6,2,Shannon Elizabeth,4.0,4.0,1.0,0,1.0
6,2,Priscilla Presley,6.0,1.0,5.0,0,0.996429701467156
6,2,Marlee Matlin,4.0,6.0,6.0,0,0.9907179041316581
6,2,Marissa Jaret Winokur,6.0,3.0,7.0,0,0.9583504060196459
6,2,Cristian de la Fuente,8.0,2.0,8.0,0,0.937742117722195
6,2,Adam Carolla,9.0,7.0,9.0,0,0.8564987164323887
6,2,Steve Guttenberg,11.0,5.0,10.0,0,0.8188370332372075
6,2,Penn Jillette,10.0,11.0,12.0,1,0.7828997671408667
6,2,Monica Seles,12.0,12.0,12.0,1,0.7260082427824778
6,3,Kristi Yamaguchi,1.0,5.0,1.0,0,1.0
6,3,Priscilla Presley,2.0,3.0,2.0,0,0.9995296470631132
6,3,Cristian de la Fuente,3.0,4.0,3.0,0,0.9630426312535261
6,3,Jason Taylor,5.0,2.0,4.0,0,0.9503670144316878
6,3,Shannon Elizabeth,4.0,6.0,5.0,0,0.9390161228604879
6,3,Mario,6.0,1.0,6.0,0,0.9156284519530472
6,3,Marlee Matlin,6.0,7.0,7.0,0,0.8689551012365331
6,3,Adam Carolla,6.0,9.0,8.0,0,0.8263551073383519
6,3,Steve Guttenberg,6.0,10.0,9.0,0,0.8116985648671944
6,3,Marissa Jaret Winokur,10.0,8.0,10.0,1,0.7965932317314797
6,4,Jason Taylor,1.0,4.0,1.0,0,1.0
6,4,Kristi Yamaguchi,1.0,4.0,1.0,0,1.0
6,4,Shannon Elizabeth,3.0,3.0,3.0,0,0.9877204282212203
6,4,Cristian de la Fuente,4.0,2.0,4.0,0,0.9621079028427115
6,4,Mario,5.0,1.0,5.0,0,0.9401125180694604
6,4,Marlee Matlin,5.0,6.0,6.0,0,0.9000106066638394
6,4,Priscilla Presley,8.0,7.0,7.0,0,0.8567098175035013
6,4,Marissa Jaret Winokur,5.0,8.0,8.0,0,0.8430502295840794
6,4,Adam Carolla,9.0,9.0,9.0,1,0.7455127490884325
6,5,Kristi Yamaguchi,1.0,4.0,1.0,0,0.9993309892345463
6,5,Jason Taylor,2.0,3.0,2.0,0,0.9633418777565038
6,5,Mario,2.0,5.0,3.0,0,0.9324852130730721
6,5,Cristian de la Fuente,5.0,1.0,4.0,0,0.9051971976432545
6,5,Shannon Elizabeth,5.0,2.0,5.0,0,0.8928418285444017
6,5,Marissa Jaret Winokur,4.0,7.0,6.0,0,0.8437667020419777
6,5,Marlee Matlin,7.0,6.0,7.0,0,0.8211754583322154
6,5,Priscilla Presley,8.0,8.0,8.0,1,0.7617719266602434
6,6,Kristi Yamaguchi,1.0,3.0,1.0,0,0.9705124243693002
6,6,Mario,2.0,2.0,2.0,0,0.9524718955622056
6,6,Cristian de la Fuente,3.0,4.0,3.0,0,0.9126216352583201
6,6,Jason Taylor,5.0,1.0,4.0,0,0.8851701570241727
6,6,Marissa Jaret Winokur,4.0,6.0,5.0,0,0.880261764061374
6,6,Shannon Elizabeth,5.0,5.0,6.0,0,0.8591151842370928
6,6,Marlee Matlin,7.0,7.0,7.0,1,0.7224726784637794
6,7,Jason Taylor,1.0,1.0,1.0,0,0.9148440693519528
6,7,Kristi Yamaguchi,2.0,2.0,2.0,0,0.9016462951863565
6,7,Mario,4.0,3.0,3.0,0,0.8429247014824282
6,7,Shannon Elizabeth,4.0,4.0,4.0,0,0.8355319755503877
6,7,Marissa Jaret Winokur,3.0,5.0,5.0,0,0.8304826433636316
6,7,Cristian de la Fuente,6.0,6.0,6.0,1,0.7627025926287847
6,8,Kristi Yamaguchi,2.0,1.0,1.0,0,0.8512023628877666
6,8,Mario,3.0,2.0,2.0,0,0.8252628844913814
6,8,Cristian de la Fuente,1.0,4.0,3.0,0,0.8231968483461043
6,8,Jason Taylor,4.0,3.0,4.0,0,0.7945308467612849
6,8,Marissa Jaret Winokur,5.0,5.0,5.0,1,0.7292937141726122
6,9,Kristi Yamaguchi,1.0,1.0,1.0,0,0.864000845615085
6,9,Jason Taylor,3.0,2.0,2.0,0,0.8010590364346291
6,9,Cristian de la Fuente,2.0,3.0,3.0,0,0.7978692137852008
6,9,Marissa Jaret Winokur,4.0,4.0,4.0,1,0.7013267605412238
6,10,Kristi Yamaguchi,1.0,1.0,1.0,0,0.36175082860339425
6,10,Jason Taylor,2.0,2.0,3.0,1,0.30412691463799757
6,10,Cristian de la Fuente,3.0,3.0,3.0,1,0.2464456300731377
7,1,Brooke Burke,1.0,12.0,1.0,0,1.0
7,1,Toni Braxton,2.0,9.0,1.0,0,1.0
7,1,Lance Bass,3.0,2.0,1.0,0,1.0
7,1,Warren Sapp,3.0,2.0,1.0,0,1.0
7,1,Misty May-Treanor,5.0,1.0,5.0,0,0.9978242940529138
7,1,Cody Linley,6.0,4.0,6.0,0,0.9704966989995556
7,1,Maurice Greene,7.0,8.0,7.0,0,0.9335641737027278
7,1,Kim Kardashian,8.0,5.0,8.0,0,0.9177390031009226
7,1,Susan Lucci,8.0,5.0,8.0,0,0.9177390031009226
7,1,Ted McGinley,8.0,5.0,8.0,0,0.9177390031009226
7,1,Rocco DiSpirito,11.0,13.0,11.0,0,0.8275524814623256
7,1,Cloris Leachman,12.0,11.0,13.0,1,0.8049502299394952
7,1,Jeffrey Ross,13.0,10.0,13.0,1,0.7168015417690048
7,2,Warren Sapp,1.0,5.0,1.0,0,1.0
7,2,Toni Braxton,3.0,2.0,2.0,0,0.9995444421581645
7,2,Brooke Burke,1.0,6.0,3.0,0,0.997067970125858
7,2,Susan Lucci,4.0,3.0,4.0,0,0.9524130274874922
7,2,Cody Linley,4.0,4.0,5.0,0,0.9376870286604533
7,2,Lance Bass,7.0,1.0,6.0,0,0.9372732261255355
7,2,Misty May-Treanor,4.0,7.0,7.0,0,0.9229527014217047
7,2,Maurice Greene,8.0,8.0,8.0,0,0.8667386578053402
7,2,Kim Kardashian,9.0,9.0,9.0,0,0.7944843242734116
7,2,Rocco DiSpirito,10.0,10.0,11.0,1,0.7253662515831053
7,2,Cloris Leachman,11.0,11.0,11.0,1,0.6707856703157029
7,3,Brooke Burke,1.0,7.0,1.0,0,1.0
7,3,Warren Sapp,2.0,3.0,1.0,0,1.0
7,3,Toni Braxton,4.0,1.0,3.0,0,0.954511625838876
7,3,Maurice Greene,3.0,6.0,4.0,0,0.9467833269391851
7,3,Lance Bass,4.0,2.0,5.0,0,0.9448280739638841
